event_id,upstream_model_family,model_family,representation_seed,decision_seed,investor_group,contrast,comparison,baseline,expressed_reason_comparison,expressed_reason_baseline,expressed_reason_delta,uncertainty_frame_comparison,uncertainty_frame_baseline,uncertainty_frame_delta,composite_reasoning_comparison,composite_reasoning_baseline,composite_reasoning_delta
evt_0090,claude-sonnet-4.5,gpt-5.2,2,1,institutional,T4_minus_T2,T4,T2,0.05278760279171635,0.0613273386399662,-0.008539735848249852,0.18344919680376215,0.1430301340282935,0.04041906277546864,0.05004654908839904,0.05687298269535538,-0.006826433606956339
evt_0090,claude-sonnet-4.5,gpt-5.2,2,1,institutional,T4_minus_T3,T4,T3,0.05278760279171635,0.07782236437958628,-0.025034761587869936,0.18344919680376215,0.14580517004379165,0.0376440267599705,0.05004654908839904,0.07763823893111971,-0.027591689842720667
evt_0090,claude-sonnet-4.5,qwen3-235b-a22b,1,1,all_profiles,T3_minus_T2,T3,T2,0.0944347787124848,0.12884129785218337,-0.03440651913969857,0.17009923532907298,0.12135977671011026,0.048739458618962714,0.06845674359333848,0.10562288604713554,-0.03716614245379707
evt_0090,claude-sonnet-4.5,qwen3-235b-a22b,1,1,all_profiles,T4_minus_T2,T4,T2,0.09044856044298427,0.12884129785218337,-0.0383927374091991,0.18196265110271626,0.12135977671011026,0.06060287439260599,0.08113259077747327,0.10562288604713554,-0.024490295269662274
evt_0090,claude-sonnet-4.5,qwen3-235b-a22b,1,1,all_profiles,T4_minus_T3,T4,T3,0.09044856044298427,0.0944347787124848,-0.003986218269500533,0.18196265110271626,0.17009923532907298,0.011863415773643277,0.08113259077747327,0.06845674359333848,0.012675847184134795
evt_0090,claude-sonnet-4.5,qwen3-235b-a22b,1,1,retail,T3_minus_T2,T3,T2,0.12047333365774053,0.16931946364752742,-0.04884612998978689,0.14131930275054083,0.16171733997299673,-0.020398037222455895,0.09434490526348716,0.11094580072571071,-0.016600895462223555
evt_0090,claude-sonnet-4.5,qwen3-235b-a22b,1,1,retail,T4_minus_T2,T4,T2,0.0802246393892704,0.16931946364752742,-0.08909482425825703,0.2095107848540659,0.16171733997299673,0.04779344488106918,0.08186769729190634,0.11094580072571071,-0.029078103433804375
evt_0090,claude-sonnet-4.5,qwen3-235b-a22b,1,1,retail,T4_minus_T3,T4,T3,0.0802246393892704,0.12047333365774053,-0.04024869426847014,0.2095107848540659,0.14131930275054083,0.06819148210352508,0.08186769729190634,0.09434490526348716,-0.01247720797158082
evt_0090,claude-sonnet-4.5,qwen3-235b-a22b,1,1,institutional,T3_minus_T2,T3,T2,0.08493149204238858,0.09842949328921564,-0.013498001246827068,0.20250847820245513,0.09204601835548894,0.11046245984696619,0.06092282139453844,0.09542371358157997,-0.03450089218704153
evt_0090,claude-sonnet-4.5,qwen3-235b-a22b,1,1,institutional,T4_minus_T2,T4,T2,0.06024554975519233,0.09842949328921564,-0.03818394353402332,0.17940157453898312,0.09204601835548894,0.08735555618349418,0.06359103904550512,0.09542371358157997,-0.031832674536074856
evt_0090,claude-sonnet-4.5,qwen3-235b-a22b,1,1,institutional,T4_minus_T3,T4,T3,0.06024554975519233,0.08493149204238858,-0.02468594228719625,0.17940157453898312,0.20250847820245513,-0.02310690366347201,0.06359103904550512,0.06092282139453844,0.002668217650966677
evt_0090,claude-sonnet-4.5,qwen3-235b-a22b,2,1,all_profiles,T3_minus_T2,T3,T2,0.08525608303337259,0.06163162265151741,0.02362446038185518,0.1336797359166185,0.09280658072373076,0.04087315519288774,0.054953711735230025,0.05261602319895065,0.0023376885362793726
evt_0090,claude-sonnet-4.5,qwen3-235b-a22b,2,1,all_profiles,T4_minus_T2,T4,T2,0.09044856044298427,0.06163162265151741,0.028816937791466858,0.18196265110271626,0.09280658072373076,0.0891560703789855,0.08113259077747327,0.05261602319895065,0.02851656757852262
evt_0090,claude-sonnet-4.5,qwen3-235b-a22b,2,1,all_profiles,T4_minus_T3,T4,T3,0.09044856044298427,0.08525608303337259,0.005192477409611679,0.18196265110271626,0.1336797359166185,0.04828291518609776,0.08113259077747327,0.054953711735230025,0.026178879042243246
evt_0090,claude-sonnet-4.5,qwen3-235b-a22b,2,1,retail,T3_minus_T2,T3,T2,0.08384236528000649,0.045140042736271146,0.038702322543735346,0.11412587922887786,0.1080323060856553,0.006093573143222564,0.058811766196456915,0.05065628219001147,0.008155484006445446
evt_0090,claude-sonnet-4.5,qwen3-235b-a22b,2,1,retail,T4_minus_T2,T4,T2,0.0802246393892704,0.045140042736271146,0.03508459665299925,0.2095107848540659,0.1080323060856553,0.10147847876841061,0.08186769729190634,0.05065628219001147,0.031211415101894867
evt_0090,claude-sonnet-4.5,qwen3-235b-a22b,2,1,retail,T4_minus_T3,T4,T3,0.0802246393892704,0.08384236528000649,-0.003617725890736098,0.2095107848540659,0.11412587922887786,0.09538490562518805,0.08186769729190634,0.058811766196456915,0.02305593109544942
evt_0090,claude-sonnet-4.5,qwen3-235b-a22b,2,1,institutional,T3_minus_T2,T3,T2,0.08483052791370758,0.04810355304154259,0.036726974872164996,0.14741867492921773,0.08550764394061411,0.06191103098860362,0.05757672338148717,0.02985734916962997,0.0277193742118572
evt_0090,claude-sonnet-4.5,qwen3-235b-a22b,2,1,institutional,T4_minus_T2,T4,T2,0.06024554975519233,0.04810355304154259,0.012141996713649739,0.17940157453898312,0.08550764394061411,0.09389393059836901,0.06359103904550512,0.02985734916962997,0.03373368987587515
